ptdfAT|ptdfBE|ptdfDE|ptdfFR|ptdfNL|ram|timestamp
0.01564|-0.17902|-0.01374|0.13017|-0.10082|1741|2019-02-15T23:00:00Z
-0.00439|0.07945|0.0028|-0.01724|0.02847|354|2019-02-15T23:00:00Z
0.01034|0.24558|-0.00873|0.06863|-0.01151|1230|2019-02-15T23:00:00Z
-0.01423|-0.00757|0.01234|-0.11583|0.09474|867|2019-02-15T23:00:00Z
0.01496|0.23093|-0.01235|0.10028|-0.04195|1277|2019-02-15T23:00:00Z
-0.01582|0.02936|0.03197|0.02675|0.03063|292|2019-02-15T23:00:00Z
-0.0025|0.00758|-0.0041|0.00017|0.08276|306|2019-02-15T23:00:00Z
0.00441|0.21744|-0.00977|0.08046|0.19458|1193|2019-02-15T23:00:00Z
0.02208|0.11971|-0.04416|0.18817|0.01243|1070|2019-02-15T23:00:00Z
0|-1|0|0|0|6000|2019-02-15T23:00:00Z
0.18107|0.12938|0.18706|0.15659|0|387|2019-02-15T23:00:00Z
0.16588|0.11853|0.17634|0.13957|0|387|2019-02-15T23:00:00Z
0.19326|0.15471|0.1983|0.16686|0|387|2019-02-15T23:00:00Z
0.16475|0.09573|0.17339|0.12727|0|387|2019-02-15T23:00:00Z
0.17112|0.10542|0.17816|0.13967|0|387|2019-02-15T23:00:00Z
0.19213|0.15025|0.1968|0.16779|0|387|2019-02-15T23:00:00Z
0.19436|0.15481|0.19882|0.16992|0|387|2019-02-15T23:00:00Z
0.19421|0.13877|0.19702|0.16341|0|387|2019-02-15T23:00:00Z
0.19428|0.15456|0.19873|0.16986|0|387|2019-02-15T23:00:00Z
-0.29943|-0.40604|-0.2823|-0.35142|0|908|2019-02-15T23:00:00Z
-0.29528|-0.40383|-0.27732|-0.34672|0|908|2019-02-15T23:00:00Z
-0.30288|-0.40509|-0.28541|-0.35253|0|908|2019-02-15T23:00:00Z
-0.29877|-0.40409|-0.28095|-0.34882|0|908|2019-02-15T23:00:00Z
-0.30012|-0.40593|-0.28301|-0.35132|0|908|2019-02-15T23:00:00Z
-0.29912|-0.40458|-0.28128|-0.35104|0|908|2019-02-15T23:00:00Z
-0.30327|-0.40488|-0.28566|-0.35295|0|908|2019-02-15T23:00:00Z
-0.29346|-0.40322|-0.27505|-0.34678|0|908|2019-02-15T23:00:00Z
-0.29829|-0.402|-0.2795|-0.34793|0|908|2019-02-15T23:00:00Z
-0.29737|-0.40221|-0.27858|-0.3481|0|908|2019-02-15T23:00:00Z
-0.0389|-0.00942|0.02346|-0.04159|0|416|2019-02-15T23:00:00Z
-0.03758|-0.00719|0.02575|-0.03519|0|416|2019-02-15T23:00:00Z
-0.03984|-0.00499|0.02384|-0.0373|0|416|2019-02-15T23:00:00Z
-0.04611|-0.00639|0.02037|-0.03238|0|416|2019-02-15T23:00:00Z
-0.03479|-0.00863|0.02647|-0.04108|0|416|2019-02-15T23:00:00Z
-0.05274|-0.01033|0.01274|-0.04636|0|416|2019-02-15T23:00:00Z
-0.03969|-0.01027|0.02375|-0.03716|0|416|2019-02-15T23:00:00Z
0.18363|0.13121|0.1897|0.14971|0|387|2019-02-15T23:00:00Z
0.0823|0.08016|0.11621|0.09384|0|387|2019-02-15T23:00:00Z
0.17997|0.12364|0.18593|0.15143|0|387|2019-02-15T23:00:00Z
0.17686|0.12491|0.18453|0.14436|0|387|2019-02-15T23:00:00Z
0.18088|0.12924|0.18686|0.1571|0|387|2019-02-15T23:00:00Z
0.02391|0.0491|0.07417|0.05542|0|387|2019-02-15T23:00:00Z
0.20423|0.14367|0.20423|0.16929|0|387|2019-02-15T23:00:00Z
0.20528|0.14492|0.20528|0.1677|0|387|2019-02-15T23:00:00Z
0.20298|0.14062|0.20298|0.16864|0|387|2019-02-15T23:00:00Z
0.20411|0.14003|0.20411|0.16377|0|387|2019-02-15T23:00:00Z
0.2024|0.13735|0.2024|0.16534|0|387|2019-02-15T23:00:00Z
0.20305|0.13762|0.20305|0.1635|0|387|2019-02-15T23:00:00Z
0.20475|0.14184|0.20475|0.16452|0|387|2019-02-15T23:00:00Z
0.13012|0.07252|0.10337|0.0865|0|328|2019-02-15T23:00:00Z
0.17224|0.00525|0.01533|-0.01003|0|819|2019-02-15T23:00:00Z
0.17652|-0.0027|0.01571|-0.0027|0|824|2019-02-15T23:00:00Z
0.17744|-0.00391|0.01804|-0.00391|0|824|2019-02-15T23:00:00Z
0.17416|-0.00354|0.01211|-0.00354|0|824|2019-02-15T23:00:00Z
0.17532|-0.01021|0.01815|-0.01021|0|824|2019-02-15T23:00:00Z
0.17314|-0.01177|0.01529|-0.01177|0|824|2019-02-15T23:00:00Z
0.1736|-0.01206|0.01628|-0.01206|0|824|2019-02-15T23:00:00Z
0.17091|-0.00671|0.01458|-0.01919|0|824|2019-02-15T23:00:00Z
0.17591|0|0.01565|-0.00529|0|824|2019-02-15T23:00:00Z
0.1718|0|0.00983|-0.00794|0|824|2019-02-15T23:00:00Z
0.17113|0|0.00966|-0.00996|0|824|2019-02-15T23:00:00Z
0.17728|0|0.02055|-0.01032|0|824|2019-02-15T23:00:00Z
0.17923|-0.00395|0.02442|-0.01043|0|824|2019-02-15T23:00:00Z
0.17202|-0.01001|0.01229|-0.01001|0|824|2019-02-15T23:00:00Z
0.17209|-0.0086|0.01156|-0.0086|0|824|2019-02-15T23:00:00Z
0.16849|-0.00371|0.00538|-0.00981|0|824|2019-02-15T23:00:00Z
0.17008|-0.00298|0.00648|-0.00663|0|824|2019-02-15T23:00:00Z
0.17286|0|0.01538|-0.0154|0|824|2019-02-15T23:00:00Z
0.17426|0|0.01724|-0.01422|0|824|2019-02-15T23:00:00Z
0.17346|-0.00829|0.01999|-0.02081|0|824|2019-02-15T23:00:00Z
0.17145|-0.00378|0.01526|-0.01928|0|824|2019-02-15T23:00:00Z
0.17308|-0.00382|0.0154|-0.00137|0|812|2019-02-15T23:00:00Z
0.16974|-0.0128|0.0151|-0.00988|0|812|2019-02-15T23:00:00Z
-0.09384|0.02394|0.02631|0.0238|0.02337|728|2019-02-16T04:00:00Z
-0.08892|0.01602|0.01871|-0.0023|0.02286|582|2019-02-16T04:00:00Z
-0.15413|0.04771|0.02688|0.0526|0.04422|1140|2019-02-16T04:00:00Z
0.01562|0.24794|-0.01324|0.10788|-0.02528|1123|2019-02-16T04:00:00Z
-0.00189|0.08056|0.00072|-1e-05|0.01906|344|2019-02-16T04:00:00Z
0.01177|0.24204|-0.01028|0.08627|-0.01646|1052|2019-02-16T04:00:00Z
0.01564|-0.17892|-0.01366|0.13178|-0.1013|1448|2019-02-16T04:00:00Z
-0.00439|0.07942|0.00278|-0.01722|0.02865|364|2019-02-16T04:00:00Z
0.01034|0.24565|-0.00869|0.06925|-0.01175|1093|2019-02-16T04:00:00Z
-0.01424|-0.00766|0.01227|-0.11721|0.09519|860|2019-02-16T04:00:00Z
0.0044|0.21741|-0.00979|0.08127|0.1979|888|2019-02-16T04:00:00Z
0|-1|0|0|0|6500|2019-02-16T04:00:00Z
0.1908|0.15279|0.1948|0.16802|0|377|2019-02-16T04:00:00Z
0.17872|0.1262|0.18466|0.14385|0|377|2019-02-16T04:00:00Z
0.17561|0.124|0.18145|0.15225|0|377|2019-02-16T04:00:00Z
0.16388|0.09551|0.17098|0.13166|0|377|2019-02-16T04:00:00Z
0.19304|0.16041|0.19749|0.16749|0|377|2019-02-16T04:00:00Z
